t,class,conf,uL,vL,uR,vR,x,y,z,mode,gap,epi_err,height,pair_src
1761675426.154,fire,0.84,395.3,715.7,nan,nan,0.837,0.024,0.000,plane,nan,nan,0.000,none
1761675433.564,fire,0.85,404.6,721.0,nan,nan,0.837,0.014,0.000,plane,nan,nan,0.000,none
1761675438.444,fire,0.85,411.4,722.9,nan,nan,0.835,0.008,0.000,plane,nan,nan,0.000,none
1761675443.212,fire,0.84,412.6,724.6,nan,nan,0.835,0.006,0.000,plane,nan,nan,0.000,none
1761675447.971,fire,0.77,412.3,726.1,nan,nan,0.837,0.006,0.000,plane,nan,nan,0.000,none
1761675452.815,fire,0.77,413.7,726.7,nan,nan,0.836,0.004,0.000,plane,nan,nan,0.000,none
1761675458.148,fire,0.82,418.6,731.5,nan,nan,0.837,-0.002,0.000,plane,nan,nan,0.000,none
1761675463.398,fire,0.79,424.8,739.7,nan,nan,0.840,-0.011,0.000,plane,nan,nan,0.000,none
1761675468.506,fire,0.78,425.9,741.2,nan,nan,0.840,-0.012,0.000,plane,nan,nan,0.000,none
1761675473.456,fire,0.80,431.5,735.0,nan,nan,0.834,-0.013,0.000,plane,nan,nan,0.000,none
1761675478.415,fire,0.81,436.6,743.2,nan,nan,0.836,-0.021,0.000,plane,nan,nan,0.000,none
1761675483.555,fire,0.82,438.9,744.5,nan,nan,0.836,-0.024,0.000,plane,nan,nan,0.000,none
1761675488.987,fire,0.79,446.4,751.2,nan,nan,0.837,-0.032,0.000,plane,nan,nan,0.000,none
1761675493.999,fire,0.76,452.9,776.6,nan,nan,0.850,-0.050,0.000,plane,nan,nan,0.000,none
1761675498.874,fire,0.77,457.1,788.3,nan,nan,0.856,-0.058,0.000,plane,nan,nan,0.000,none
1761675503.765,fire,0.69,472.3,817.8,nan,nan,0.867,-0.083,0.000,plane,nan,nan,0.000,none
1761675508.650,fire,0.74,494.1,859.5,nan,nan,0.882,-0.116,0.000,plane,nan,nan,0.000,none
1761675513.529,fire,0.67,503.5,877.3,nan,nan,0.888,-0.130,0.000,plane,nan,nan,0.000,none
1761675518.308,fire,0.80,521.1,925.5,nan,nan,0.908,-0.161,0.000,plane,nan,nan,0.000,none
1761675523.128,fire,0.72,543.8,959.7,nan,nan,0.917,-0.188,0.000,plane,nan,nan,0.000,none
1761675528.275,fire,0.78,554.3,981.2,nan,nan,0.924,-0.203,0.000,plane,nan,nan,0.000,none
1761675533.085,fire,0.55,575.7,1008.6,nan,nan,0.929,-0.226,0.000,plane,nan,nan,0.000,none
1761675537.880,fire,0.66,588.5,1025.4,nan,nan,0.933,-0.239,0.000,plane,nan,nan,0.000,none
1761675542.719,fire,0.67,588.7,1025.0,nan,nan,0.932,-0.239,0.000,plane,nan,nan,0.000,none
