time,class,conf,uL,vL,uR,vR,x,y,z,mode,gap,epi_err,height
1762508092.33,fire,0.81,656.3,337.2,570.4588137440136,337.18942667309904,-0.012,0.006,-0.008,stereo,0.01630184192129063,1.9341424199062451,0.008
1762508092.918,fire,0.72,643.7,352.3,551.6474881806605,351.40973709390806,-0.011,0.014,-0.004,stereo,0.008468631873080765,1.7245734298636821,0.004
1762508093.217,fire,0.8,658.1,351.0,579.9461563690755,352.5152062845072,0.061,-0.048,-0.002,stereo,0.012199654064482791,1.1324921558953662,0.002
1762508093.661,fire,0.7,649.9,349.5,566.97247605069,348.96722423469527,0.093,-0.061,-0.01,stereo,0.015043777703699022,1.8474982861240385,0.01
1762508094.053,fire,0.78,632.1,362.4,553.0444500653736,360.53793158546637,0.01,0.011,-0.007,stereo,0.014912514437460453,1.8758473136596203,0.007
1762508094.334,fire,0.74,633.1,358.9,551.5015169426579,359.85201989772247,0.009,0.031,-0.001,stereo,0.010824193426366025,1.6454238896783329,0.001
1762508094.786,fire,0.95,629.9,371.1,549.1036545089084,369.23423484764396,-0.029,-0.029,-0.003,stereo,0.013292420637337777,1.0035450471928455,0.003
1762508095.242,fire,0.92,633.3,361.4,538.7765826316365,359.33490752676425,-0.004,0.013,-0.014,stereo,0.011277779397324566,0.9167862832990703,0.014
1762508095.586,fire,0.94,619.7,361.0,542.0540377715272,361.5805554579847,0.004,0.101,-0.029,stereo,0.021005223279599725,1.557592078564113,0.029
1762508095.916,fire,0.84,635.1,366.9,549.5080281858524,363.55102093898296,-0.034,0.009,-0.018,stereo,0.018298359870682512,0.8616114189338449,0.018
1762508096.478,smoke,0.84,639.7,355.2,550.4362126109396,354.84989844249526,-0.003,-0.041,-0.989,stereo,0.006718569910277264,1.352645590004557,0.989
1762508096.782,fire,0.93,643.2,368.7,563.4611868527294,369.5813465990959,0.083,0.024,-0.012,stereo,0.009855529200090956,0.884136898617229,0.012
1762508097.235,fire,0.86,622.5,359.3,537.8041458904323,359.9457318424472,0.038,0.003,-0.006,stereo,0.007949320074056498,1.4594948974309496,0.006
1762508097.522,fire,0.91,626.9,355.3,546.4310531754895,356.3876940036442,0.042,-0.016,-0.007,stereo,0.006397751862180101,1.532797063490237,0.007
1762508098.076,fire,0.81,677.6,352.9,600.7764254713096,353.4911596388948,0.131,-0.048,-0.007,stereo,0.00972225187146294,1.4961543858985804,0.007
1762508098.435,fire,0.81,634.4,336.5,534.5737567011995,334.34733443239764,0.081,0.106,-0.012,stereo,0.01551093862010323,0.9192598662890474,0.012
1762508098.991,fire,0.94,637.2,345.6,553.6199060565511,346.04626687297247,-0.033,-0.0,-0.01,stereo,0.012298087309312453,1.1769866454280742,0.01
1762508099.522,fire,0.71,667.4,371.7,585.3412205913316,374.10752594411895,0.065,0.044,-0.017,stereo,0.019497199225564046,2.0539797158914257,0.017
1762508099.9,fire,0.87,637.2,360.3,538.762254260404,359.79203770097087,0.003,0.015,-0.004,stereo,0.013646036384379934,1.3253340528923276,0.004
1762508100.251,fire,0.79,625.7,371.3,541.1886457038195,373.68298886316563,-0.005,0.106,-0.004,stereo,0.018870269247153237,1.4990834140986102,0.004
1762508100.832,fire,0.75,641.4,373.4,547.4726325318721,370.2208448433427,-0.001,-0.036,-0.005,stereo,0.015498912071461667,1.8739361569443205,0.005
1762508101.113,fire,0.85,640.8,371.9,570.7261178934723,372.008242049243,0.022,0.101,-0.021,stereo,0.02089977977104163,0.8796003827516842,0.021
1762508101.618,fire,0.81,648.0,367.7,562.6949678311012,365.9444474518381,0.008,0.005,-0.004,stereo,0.020978039414011905,1.35685605579813,0.004
1762508102.157,fire,0.8,652.3,373.3,,,0.139,0.012,0.0,plane,,,0.0
1762508102.439,fire,0.82,641.9,365.4,561.3127508769778,365.49238817813017,-0.02,0.032,-0.007,stereo,0.021985675687587816,1.6985271041598056,0.007
1762508102.709,fire,0.71,634.1,369.2,553.0518188628321,368.65748765362827,-0.017,0.057,-0.02,stereo,0.018823708973750644,1.0578292309410826,0.02
1762508103.173,fire,0.94,655.5,365.9,563.1398108287609,364.2722548664222,-0.001,-0.064,-0.009,stereo,0.010332140021084804,1.764857045921956,0.009
1762508103.528,fire,0.86,640.6,360.1,558.7530897167076,357.9889359638678,-0.032,0.022,-0.002,stereo,0.015158610399338197,0.9176953819975745,0.002
1762508103.923,fire,0.88,653.2,360.6,570.5783839733095,364.7594713219864,0.028,0.009,-0.011,stereo,0.0128464514189016,1.6164813205549424,0.011
1762508104.365,fire,0.76,614.7,354.8,520.8904502288757,352.8505254761325,-0.03,-0.029,-0.003,stereo,0.016438928904336507,1.1743212277360646,0.003
1762508104.909,fire,0.86,656.0,368.1,567.9297587240081,367.74045915243454,-0.009,0.035,-0.009,stereo,0.013906266344278774,0.8737850865029025,0.009
1762508105.508,fire,0.77,638.2,346.4,551.7514298578446,343.37355312472016,0.065,0.022,-0.007,stereo,0.007914760893838309,1.247379041617379,0.007
1762508106.104,fire,0.78,621.5,359.5,539.1760616453381,360.1974483691413,-0.001,-0.035,-0.009,stereo,0.02182612804293769,1.5339541420426728,0.009
1762508106.527,fire,0.82,657.2,363.2,562.6413025226968,361.35747312540434,0.01,0.028,-0.016,stereo,0.010672949285032454,1.4352963136023797,0.016
1762508106.954,fire,0.76,639.2,356.6,556.0981728759424,354.55301909938487,0.034,0.027,-0.004,stereo,0.013721160137396705,1.852941384189069,0.004
1762508107.413,fire,0.85,618.2,354.8,531.9074653086705,353.31813906246526,0.004,0.028,-0.002,stereo,0.020839367336064427,1.3723109923853074,0.002
1762508107.817,smoke,0.77,638.0,366.1,545.6052592098873,366.81465724951096,-0.124,-0.048,-0.841,stereo,0.019868823012190825,0.8711561067754557,0.841
1762508108.097,fire,0.87,631.8,379.5,554.6708955341394,378.6109559067441,-0.041,0.073,-0.002,stereo,0.021646671665181444,1.3173640032910898,0.002
1762508108.565,fire,0.79,652.9,345.4,,,-0.047,-0.002,0.0,plane,,,0.0
1762508108.911,fire,0.7,633.1,357.0,553.8426924797049,354.9399858903276,-0.134,0.076,-0.025,stereo,0.010783098417902488,1.5854803763247236,0.025
1762508109.208,fire,0.75,649.9,359.5,553.4842706395183,358.84528889371535,0.011,0.03,-0.017,stereo,0.012277905486748704,2.0729481404283323,0.017
1762508109.776,fire,0.72,647.2,357.4,554.8374920717904,354.04479960870594,0.013,-0.049,-0.003,stereo,0.020351948780367925,1.0526456753209892,0.003
1762508110.262,fire,0.89,647.6,343.3,558.8048932707214,348.0275283346033,0.035,-0.009,-0.002,stereo,0.013014180137347085,1.4143859628800886,0.002
1762508110.535,fire,0.93,631.4,378.9,548.9036383432194,379.56590745660185,-0.028,0.079,-0.023,stereo,0.007648042946082541,0.7616186399572704,0.023
1762508110.786,fire,0.83,642.3,354.3,549.6156172316702,352.455236218666,0.032,-0.021,-0.006,stereo,0.006026571322796809,0.8681055564980463,0.006
1762508111.285,fire,0.68,641.3,348.0,,,-0.072,-0.066,0.0,plane,,,0.0
1762508111.751,fire,0.71,642.8,368.6,550.2536568677585,364.07373220469304,0.055,0.074,-0.01,stereo,0.019590965329436466,0.7071120893678109,0.01
1762508112.112,fire,0.9,635.7,348.4,542.5300561634383,350.6250947903964,-0.054,0.023,-0.006,stereo,0.01561174270180228,1.0245335428381022,0.006
1762508112.54,fire,0.71,632.2,344.4,541.1292054996591,347.13907182994535,-0.002,0.042,-0.0,stereo,0.008299498583288547,1.7396431403945523,0.0
1762508113.083,fire,0.7,663.6,364.6,577.7297577835024,364.1796930638906,-0.01,0.0,-0.007,stereo,0.01551308174225383,1.1421327898041445,0.007
1762508113.337,smoke,0.85,659.0,351.7,581.7305685233899,352.50267282354616,0.1,0.041,-0.874,stereo,0.021734673215887,1.3289085818512079,0.874
1762508113.72,fire,0.84,629.1,357.5,543.7530010385655,355.258480368042,-0.044,0.068,-0.012,stereo,0.013516814210797246,1.800242356844245,0.012
1762508114.221,fire,0.89,631.9,356.5,548.2532238799678,354.7406912679457,-0.031,0.066,-0.018,stereo,0.006370241513311143,2.1688369505609195,0.018
1762508114.59,fire,0.8,684.2,357.2,593.2396582757468,356.2042822089069,0.128,-0.003,-0.003,stereo,0.008097739088419518,0.9443072508318323,0.003
1762508115.014,fire,0.76,632.0,353.5,539.9043687421268,352.67095587330437,-0.044,-0.013,-0.003,stereo,0.013703861445220492,2.138998521453413,0.003
1762508115.48,fire,0.77,637.5,362.1,545.1733435859376,359.7717429266491,-0.059,0.018,-0.012,stereo,0.014846372065031383,0.8454668330582189,0.012
1762508116.043,fire,0.74,636.0,358.5,557.7331691879556,355.41524085605107,0.012,0.003,-0.001,stereo,0.009309016440224508,2.1123082851071486,0.001
1762508116.604,fire,0.77,624.6,367.5,545.8684016693005,369.85600290262096,0.043,0.039,-0.014,stereo,0.009916744024802327,0.9418810942778861,0.014
1762508116.865,fire,0.83,647.1,359.7,562.270919898669,360.64291641865503,0.072,0.082,-0.003,stereo,0.014870664832638937,1.011575880027309,0.003
1762508117.132,fire,0.94,651.0,368.9,569.3466208085057,363.0339341091622,0.04,-0.168,-0.017,stereo,0.008446033954021376,2.080998787410352,0.017
1762508117.435,fire,0.91,651.2,378.2,563.9633753445776,377.9894699660038,0.019,-0.038,-0.003,stereo,0.006993009704642484,1.387393062304771,0.003
1762508117.998,fire,0.66,629.8,365.8,,,0.004,-0.067,0.0,plane,,,0.0
1762508118.368,fire,0.96,632.0,379.1,539.4783169851848,378.92605479058057,0.003,0.07,-0.001,stereo,0.020513381230552137,1.3289514818917154,0.001
1762508118.714,fire,0.81,644.6,359.6,556.3365181895049,357.1323554082119,0.081,-0.026,-0.017,stereo,0.009946886035618357,1.7017737382719795,0.017
1762508118.972,fire,0.77,645.9,368.2,573.3974144441457,363.85006883768693,0.013,0.013,-0.01,stereo,0.021618054251067324,1.2995142027454554,0.01
1762508119.564,fire,0.93,637.5,370.8,560.7354919476207,372.19953957387855,0.0,-0.02,-0.009,stereo,0.020602749364088575,2.0858117492477595,0.009
1762508119.817,fire,0.9,673.1,367.8,588.6384858758865,368.0702632140759,0.084,0.005,-0.015,stereo,0.019056896268045298,1.990854878941564,0.015
1762508120.115,fire,0.91,646.2,347.9,559.9496039390149,346.04364590236355,0.023,0.046,-0.028,stereo,0.020926412518612054,2.1712317182995515,0.028
1762508120.399,fire,0.77,635.1,337.6,546.199889460636,336.3810218764726,-0.009,0.002,-0.002,stereo,0.021872672088448876,2.199132863836282,0.002
1762508120.821,fire,0.95,661.3,369.1,571.5303745637456,370.45541267003114,-0.028,-0.025,-0.013,stereo,0.011144730915854393,1.8232311695005823,0.013
1762508121.122,fire,0.74,655.5,361.7,577.9083032346075,361.7202096933833,-0.008,-0.009,-0.002,stereo,0.01643612170345369,1.9346909761242799,0.002
1762508121.635,fire,0.91,629.5,365.3,537.4978967843437,365.3336158857699,-0.024,0.009,-0.017,stereo,0.011886469443549083,1.0287838247179484,0.017
