time,class,conf,uL,vL,uR,vR,x,y,z,mode,gap,epi_err,height
1762508092.469,fire,0.98,670.3,368.2,532.6799159125542,367.8654439002539,-0.181,-0.029,-0.004,stereo,0.014083024406037292,1.2057019236749422,0.004
1762508092.875,fire,0.89,697.6,342.6,555.2620123672172,345.7954845271318,-0.097,-0.259,-0.009,stereo,0.012308387816259626,1.1504988707268806,0.009
1762508093.395,fire,0.92,729.6,379.3,583.2777872765126,378.181704488897,0.147,0.088,-0.012,stereo,0.008736277344441497,1.3973036991061627,0.012
1762508093.978,fire,0.78,672.0,396.3,529.1493203792613,397.45750987629106,-0.189,0.119,-0.007,stereo,0.01098040053748977,0.5372655746568121,0.007
1762508094.42,fire,0.81,708.8,369.7,566.5337332721558,368.49487174374235,-0.048,-0.147,-0.01,stereo,0.015712970449691617,0.660415530809248,0.01
1762508094.875,fire,0.59,719.9,373.2,,,0.054,-0.032,0.0,plane,,,0.0
1762508095.457,fire,0.84,697.2,393.3,545.2137595230425,394.8855384463461,-0.049,0.105,-0.006,stereo,0.011606328467303396,1.0492082826715627,0.006
1762508096.056,fire,0.91,707.7,392.3,558.5487612642254,395.3535442739744,0.057,0.107,-0.002,stereo,0.004577542455091875,0.6099470413519643,0.002
1762508096.364,smoke,0.88,728.8,357.1,589.9034582701441,356.67650925174036,0.054,-0.02,-1.805,stereo,0.004054518049335857,0.9897823760896448,1.805
1762508096.625,fire,0.84,704.1,394.8,562.3545216001107,396.03864186535304,0.052,0.098,-0.003,stereo,0.013343556433383162,1.0024201581893988,0.003
1762508097.182,smoke,0.89,701.3,370.0,556.0251991202657,370.75902296790434,-0.012,-0.155,-1.852,stereo,0.016052406359293912,1.4053743782252566,1.852
1762508097.595,fire,0.8,686.8,387.6,554.9061237295384,392.14545008240486,-0.034,0.112,-0.001,stereo,0.012822127569841385,1.0730731960313509,0.001
1762508098.13,fire,0.94,714.4,384.7,569.9044427397903,384.8277651430528,0.143,0.039,-0.005,stereo,0.01584880223785957,1.5924087489893997,0.005
1762508098.581,fire,0.85,711.9,386.0,574.285180730327,385.8297789034052,0.07,0.089,-0.007,stereo,0.015281437458908713,1.4846805295511136,0.007
1762508098.931,fire,0.89,689.1,360.5,547.3193568008035,358.9887979425502,0.029,-0.132,-0.005,stereo,0.015951109366063,0.6688414259116096,0.005
1762508099.316,fire,0.8,695.1,365.7,551.6847230658814,367.9376014384623,0.036,-0.088,-0.002,stereo,0.016190267226450093,1.257627434035912,0.002
1762508099.746,fire,0.76,704.1,380.5,,,-0.074,0.067,0.0,plane,,,0.0
1762508100.059,fire,0.83,689.6,366.5,544.3126551842171,365.97475510102396,-0.053,-0.1,-0.006,stereo,0.008677314035239345,0.7992497080954364,0.006
1762508100.602,fire,0.91,667.1,400.8,526.6684626981327,399.382703224566,-0.239,0.111,-0.014,stereo,0.004461104205777047,0.7478270726605667,0.014
1762508101.147,smoke,0.95,726.2,392.2,582.3394305006085,390.47687112586067,0.174,0.005,-1.851,stereo,0.017227272407216537,0.9897920125993268,1.851
1762508101.472,fire,0.79,698.4,382.4,561.2517126749289,382.5462397091799,-0.002,0.02,-0.008,stereo,0.005446520007918884,1.2015690441480356,0.008
1762508102.072,fire,0.91,680.1,406.8,541.5702693024632,404.1672114975744,-0.013,0.111,-0.0,stereo,0.008946053692117255,1.2474337400839144,0.0
1762508102.531,fire,0.76,686.6,386.4,538.0115716112268,385.47109507229925,-0.075,0.07,-0.003,stereo,0.004396092278933604,1.1145417261225616,0.003
1762508103.07,fire,0.96,716.7,373.9,581.5680002169505,375.7211535047687,0.056,-0.065,-0.015,stereo,0.007107356553853287,0.9963368235729924,0.015
1762508103.452,fire,0.9,690.6,401.5,550.6162975109992,399.49064640585397,0.028,0.075,-0.004,stereo,0.007255742212851461,0.5706297367220109,0.004
1762508103.845,fire,0.85,727.3,367.7,588.915526393745,369.02158606216153,0.165,-0.075,-0.005,stereo,0.005459503027920016,0.9563372060787818,0.005
1762508104.211,fire,0.96,735.1,374.6,598.3263653868564,373.86831143508414,0.154,-0.054,-0.0,stereo,0.006266171048802371,0.6029230241696808,0.0
1762508104.608,fire,0.8,715.0,375.0,575.6686781950694,378.83058045455914,-0.008,0.1,-0.007,stereo,0.017643012495592046,0.724414461209445,0.007
1762508104.912,fire,0.96,725.1,377.9,575.9371668776936,379.3225134629774,0.092,-0.063,-0.005,stereo,0.01146742403163445,1.2408650861977681,0.005
1762508105.234,fire,0.95,684.8,387.0,539.6155670483545,385.1820423291572,-0.15,0.066,-0.006,stereo,0.009112585842294942,1.2670105255853028,0.006
1762508105.764,fire,0.95,666.0,360.5,533.8671084465088,356.0225510912568,-0.236,-0.124,-0.007,stereo,0.007970416094478034,0.9601050511512035,0.007
1762508106.204,fire,0.95,711.7,374.8,568.3797560788573,375.59360249801864,0.054,-0.059,-0.005,stereo,0.005410661295699223,1.1513966178562365,0.005
1762508106.551,fire,0.82,713.4,371.2,571.7026500998181,371.2211032807702,0.007,-0.017,-0.004,stereo,0.014025833173899731,1.4626098867676198,0.004
1762508106.875,smoke,0.89,688.8,373.7,541.1405356091839,372.44193235406783,-0.09,0.014,-1.84,stereo,0.011882150641209024,1.0201759003695834,1.84
1762508107.369,fire,0.77,690.2,339.8,537.1178769216925,338.29645668007157,0.033,-0.138,-0.0,stereo,0.00810110269105372,1.478232035843935,0.0
